channels,kernel_size,dropout,weight_decay,val_loss,best_epoch,epochs_run
64,24,0.3,0.0015,4.992839665612073,22,30
128,3,0.5,0.001,4.993276231704824,21,29
128,5,0.5,0.0001,4.993727643015344,7,15
32,12,0.5,0.0015,4.9939090250751015,14,22
128,8,0.4,0.0001,4.993996464356743,17,25
128,5,0.3,0.001,4.9940833916535246,7,15
32,24,0.3,0.0001,4.994199025250184,17,25
32,24,0.3,0.001,4.994329978558589,22,30
64,5,0.5,0.0015,4.995162112121207,7,15
64,24,0.4,0.0015,4.995958860148962,19,27
32,5,0.4,0.001,4.9962235188308455,16,24
128,4,0.5,0.0001,4.997162741583747,12,20
64,24,0.4,0.0001,4.997432043277075,12,20
128,3,0.4,0.0015,4.99767999274139,25,33
64,24,0.5,0.0015,4.997895487989196,19,27
128,4,0.3,0.0001,4.998220476530108,12,20
128,3,0.5,0.0015,4.999267516030726,25,33
128,4,0.5,0.001,4.999521706555341,11,19
128,5,0.5,0.001,4.999690222212958,14,22
32,12,0.3,0.0001,4.999787975001979,14,22
32,24,0.4,0.001,4.999803507943119,17,25
128,4,0.3,0.001,4.999834501186811,15,23
64,2,0.3,0.0001,4.999934928715962,18,26
128,2,0.4,0.0015,5.000142832060118,8,16
128,4,0.3,0.0015,5.000404839433675,12,20
128,4,0.4,0.0015,5.000525071521356,15,23
32,5,0.3,0.0015,5.00055066959278,11,19
64,24,0.5,0.0001,5.000606781727559,13,21
32,5,0.4,0.0015,5.00074002666614,16,24
32,5,0.3,0.0001,5.0011613175675675,11,19
32,5,0.5,0.0015,5.002155745644535,11,19
32,24,0.3,0.0015,5.002275909779992,17,25
32,5,0.4,0.0001,5.002351523031474,16,24
64,2,0.5,0.0015,5.002718053813062,28,36
32,3,0.5,0.0015,5.00297990653673,16,24
128,4,0.5,0.0015,5.003129307702367,12,20
32,5,0.5,0.001,5.003156829524684,14,22
32,5,0.3,0.001,5.003333621294551,11,19
32,12,0.4,0.0001,5.0036948740628775,14,22
64,24,0.3,0.001,5.003938732334671,14,22
32,5,0.5,0.0001,5.003972829120458,11,19
32,24,0.4,0.0015,5.004117853225596,17,25
128,24,0.5,0.001,5.004185681261068,15,23
64,2,0.4,0.0015,5.004700925484922,22,30
128,2,0.5,0.0015,5.006031981850139,8,16
128,4,0.4,0.001,5.006093809001276,23,31
128,24,0.5,0.0001,5.007055589549371,7,15
32,2,0.3,0.001,5.007066280308754,10,18
64,12,0.4,0.0001,5.007589949436797,19,27
32,2,0.3,0.0015,5.008355192235999,10,18
128,2,0.5,0.001,5.008601940820492,8,16
64,24,0.3,0.0001,5.00867679371002,12,20
64,2,0.4,0.001,5.009381407894725,19,27
32,2,0.3,0.0001,5.0098091331688135,10,18
32,3,0.5,0.001,5.0111808823719075,16,24
128,24,0.3,0.0015,5.01170978030643,7,15
32,3,0.4,0.0001,5.011780377980825,16,24
64,4,0.3,0.001,5.011928186955557,22,30
128,2,0.4,0.001,5.013920446578642,8,16
64,12,0.5,0.0001,5.014658296430433,23,31
128,2,0.3,0.001,5.0161088385804575,8,16
32,4,0.3,0.0001,5.01615640279409,12,20
128,24,0.5,0.0015,5.017605208647632,7,15
64,2,0.5,0.001,5.017740671406214,28,36
128,4,0.4,0.0001,5.017933168340959,12,20
32,24,0.4,0.0001,5.018638335516178,17,25
128,24,0.3,0.001,5.019623806787064,7,15
32,2,0.4,0.001,5.020492047584027,13,21
64,12,0.3,0.0001,5.021197179611543,8,16
128,2,0.4,0.0001,5.021399307016659,8,16
32,4,0.4,0.0001,5.022396830434588,12,20
128,2,0.3,0.0015,5.022570082830856,8,16
128,24,0.4,0.0015,5.024079715297614,7,15
64,12,0.3,0.001,5.025187775895402,8,16
64,4,0.5,0.0015,5.025690993747196,13,21
32,3,0.5,0.0001,5.026425442473015,16,24
64,4,0.5,0.001,5.027582865675193,13,21
64,12,0.4,0.0015,5.027780328980242,9,17
64,3,0.4,0.0015,5.028948488633814,22,30
64,3,0.3,0.0001,5.029059810779018,7,15
32,2,0.4,0.0015,5.029694825484067,13,21
128,24,0.3,0.0001,5.029776474767586,16,24
64,12,0.4,0.001,5.030584608307635,9,17
128,24,0.4,0.001,5.030988061750257,6,14
128,2,0.5,0.0001,5.031700464665743,8,16
64,4,0.4,0.0015,5.031740763849357,13,21
128,2,0.3,0.0001,5.031843376393986,8,16
128,3,0.4,0.0001,5.032159524116235,17,25
128,24,0.4,0.0001,5.033611985330793,6,14
64,2,0.4,0.0001,5.033628331355439,19,27
32,2,0.5,0.0015,5.036883534611882,13,21
64,4,0.4,0.001,5.037872621409723,13,21
64,3,0.3,0.001,5.038183752383295,7,15
64,4,0.5,0.0001,5.0382998171251,13,21
64,4,0.3,0.0001,5.038406048711454,13,21
64,3,0.3,0.0015,5.039053134308986,10,18
32,2,0.4,0.0001,5.039500500118996,13,21
64,3,0.4,0.0001,5.041162114764314,7,15
128,3,0.3,0.0001,5.043245969299017,6,14
32,2,0.5,0.0001,5.04339955421279,13,21
64,3,0.5,0.0015,5.0437493617177305,22,30
64,4,0.3,0.0015,5.043817483822309,7,15
128,3,0.5,0.0001,5.043882604313131,10,18
32,2,0.5,0.001,5.044554542850804,13,21
128,3,0.3,0.001,5.0462292816480785,6,14
64,4,0.4,0.0001,5.047500032757658,13,21
32,4,0.5,0.0001,5.050261460006676,12,20
64,3,0.4,0.001,5.052854912872689,7,15
64,2,0.5,0.0001,5.05953328556745,13,21
64,3,0.5,0.0001,5.0603682684371165,6,14
64,3,0.5,0.001,5.070393715795194,6,14
