channels,kernel_size,dropout,weight_decay,val_loss,best_epoch,epochs_run
128,3,0.3,0.0001,5.607953461733731,15,23
64,8,0.3,0.001,5.607954805547541,7,15
128,12,0.5,0.0001,5.608261715282094,17,25
64,3,0.4,0.001,5.608461380004883,14,22
32,8,0.3,0.0001,5.608575214039195,19,27
64,8,0.5,0.0015,5.609369624744762,16,24
32,5,0.3,0.001,5.609943953427401,6,14
32,24,0.3,0.0001,5.610104214061391,17,25
128,4,0.3,0.0001,5.610225764187899,8,16
64,8,0.4,0.0001,5.610232223163951,7,15
64,3,0.5,0.001,5.610461235046387,14,22
128,24,0.3,0.0001,5.610548886385831,10,18
32,4,0.3,0.001,5.610635410655629,14,22
32,24,0.3,0.0015,5.610671216791326,10,18
128,24,0.4,0.0001,5.610739404504949,10,18
32,24,0.5,0.001,5.610808762637052,17,25
32,5,0.4,0.001,5.610964905131947,12,20
32,12,0.4,0.001,5.611046834425493,17,25
32,12,0.5,0.001,5.611467058008367,17,25
128,2,0.5,0.0015,5.611702962355181,18,26
32,12,0.3,0.0001,5.611778389323842,17,25
32,3,0.3,0.0015,5.611823298714378,9,17
32,5,0.5,0.001,5.612475698644465,12,20
32,8,0.4,0.001,5.61249338496815,14,22
64,8,0.5,0.0001,5.612565647472035,7,15
64,8,0.4,0.0015,5.612856908278032,7,15
32,12,0.4,0.0001,5.612948244268244,17,25
128,8,0.4,0.0001,5.612968054684726,15,23
32,3,0.3,0.001,5.613193685358221,9,17
64,24,0.3,0.001,5.613323601809415,15,23
32,12,0.5,0.0001,5.613742091438987,17,25
128,4,0.5,0.0015,5.613985971970991,29,37
32,5,0.4,0.0001,5.614161317998713,12,20
64,8,0.4,0.001,5.61430718682029,7,15
32,24,0.4,0.001,5.614712715148926,10,18
32,4,0.4,0.001,5.614799586209384,23,31
32,12,0.5,0.0015,5.616059823469683,17,25
64,3,0.5,0.0015,5.6164562485434795,14,22
32,24,0.4,0.0001,5.616668917916038,17,25
64,3,0.4,0.0001,5.616773735393178,14,22
32,24,0.5,0.0001,5.616811405528676,17,25
32,4,0.4,0.0001,5.617131796750155,15,23
128,24,0.5,0.0015,5.617426352067427,19,27
64,24,0.4,0.001,5.617674133994362,13,21
128,2,0.5,0.001,5.618521256880327,18,26
32,4,0.3,0.0001,5.61856239492243,11,19
32,3,0.3,0.0001,5.618605657057329,9,17
128,4,0.4,0.001,5.618671807375821,8,16
128,4,0.5,0.001,5.618767738342285,19,27
32,4,0.5,0.0015,5.620248534462669,30,38
64,24,0.5,0.0015,5.620495015924627,14,22
32,24,0.4,0.0015,5.620503078807484,17,25
128,4,0.4,0.0015,5.620714837854559,8,16
128,2,0.3,0.0001,5.621254920959473,13,21
32,5,0.5,0.0001,5.6216795227744365,12,20
32,24,0.3,0.001,5.622104081240567,10,18
128,2,0.5,0.0001,5.624146244742653,19,27
128,24,0.5,0.001,5.625015085393732,8,16
128,4,0.4,0.0001,5.625149640170011,19,27
64,24,0.5,0.001,5.625616333701394,14,22
64,24,0.4,0.0015,5.6257736466147685,19,27
32,2,0.3,0.0015,5.62653771313754,25,33
64,24,0.3,0.0015,5.627068692987615,15,23
64,24,0.3,0.0001,5.628543506969105,11,19
64,3,0.5,0.0001,5.628619714216753,14,22
32,3,0.4,0.0015,5.628882494839755,19,27
32,3,0.4,0.001,5.631448702378706,9,17
128,4,0.5,0.0001,5.632551409981468,16,24
64,24,0.5,0.0001,5.633125348524614,11,19
64,24,0.4,0.0001,5.634410381317139,15,23
128,2,0.4,0.0001,5.635678247971968,18,26
32,4,0.5,0.001,5.6363397945057265,11,19
32,2,0.3,0.001,5.639095133001154,21,29
32,4,0.5,0.0001,5.6426193497397685,14,22
64,2,0.3,0.001,5.642785115675493,11,19
64,2,0.3,0.0015,5.642951401797208,7,15
64,2,0.4,0.0015,5.644323695789684,7,15
32,3,0.4,0.0001,5.644959102977406,9,17
32,2,0.4,0.0015,5.646402055566961,21,29
64,2,0.4,0.001,5.647489981217817,7,15
32,2,0.4,0.001,5.649329445578835,25,33
64,2,0.3,0.0001,5.653115445917303,7,15
64,2,0.4,0.0001,5.653288451108065,7,15
32,2,0.3,0.0001,5.654574784365567,17,25
32,3,0.5,0.0015,5.659498604861173,9,17
32,2,0.5,0.0015,5.660329298539595,25,33
64,2,0.5,0.0015,5.662085099653765,7,15
32,3,0.5,0.001,5.663664080879905,9,17
64,2,0.5,0.001,5.669013933701948,7,15
32,2,0.4,0.0001,5.670338370583274,11,19
64,2,0.5,0.0001,5.677562973716042,7,15
32,2,0.5,0.001,5.678217280994762,16,24
32,3,0.5,0.0001,5.678928765383634,9,17
32,2,0.5,0.0001,5.6971753293817695,16,24
