channels,kernel_size,dropout,weight_decay,val_loss,best_epoch,epochs_run
32,4,0.5,0.001,5.868413630705077,5,13
32,8,0.3,0.0001,5.868672786763757,12,20
32,8,0.5,0.0001,5.869581047713249,12,20
64,5,0.5,0.001,5.869611907673231,9,17
32,5,0.5,0.0001,5.869622204393766,8,16
64,5,0.5,0.0015,5.869823168604731,9,17
64,24,0.4,0.001,5.87032941952983,7,15
64,8,0.3,0.001,5.870654116594545,6,14
64,24,0.3,0.0001,5.87089399124034,10,18
128,5,0.5,0.0001,5.871094035463415,5,13
64,12,0.4,0.0015,5.871645691333822,6,14
128,2,0.5,0.0015,5.871996655388668,7,15
32,4,0.5,0.0001,5.872184539683408,5,13
64,24,0.3,0.0015,5.872843124398941,7,15
32,24,0.4,0.001,5.873128425189261,10,18
64,5,0.4,0.0015,5.873312423638682,9,17
64,8,0.4,0.0001,5.873728313631901,6,14
64,24,0.3,0.001,5.8740449044649266,10,18
128,24,0.5,0.001,5.8740460672273995,12,20
128,24,0.3,0.0015,5.874349996030113,15,23
32,24,0.4,0.0015,5.875075943141849,10,18
64,2,0.4,0.0015,5.875399289845549,5,13
32,3,0.3,0.0015,5.875422363885282,5,13
32,24,0.5,0.0001,5.875445674891594,8,16
32,8,0.5,0.001,5.8757843041971745,12,20
32,3,0.3,0.001,5.876508439211549,5,13
128,2,0.5,0.001,5.876764451978268,7,15
64,24,0.4,0.0015,5.877019547080296,10,18
128,24,0.4,0.0015,5.877220537136882,4,12
64,5,0.4,0.001,5.8775274884250654,9,17
128,2,0.3,0.001,5.877734143609106,7,15
64,12,0.5,0.001,5.877841717723516,3,11
32,8,0.4,0.001,5.878067477176309,12,20
64,24,0.5,0.001,5.878134019191895,10,18
32,2,0.3,0.0015,5.878211068758575,6,14
128,2,0.3,0.0015,5.87841108684563,7,15
64,12,0.5,0.0015,5.878466239074261,3,11
32,3,0.3,0.0001,5.878637288287554,5,13
128,2,0.4,0.0001,5.879435576997634,4,12
128,2,0.5,0.0001,5.8799227431107965,4,12
128,8,0.4,0.0015,5.880095196118744,12,20
64,12,0.4,0.001,5.880909660411374,6,14
64,2,0.5,0.0015,5.881201166183156,5,13
32,2,0.3,0.001,5.8812246935376296,6,14
64,2,0.5,0.001,5.881340470006202,5,13
32,24,0.3,0.0001,5.881566230039794,8,16
128,24,0.5,0.0015,5.881807919106152,4,12
128,24,0.4,0.001,5.881987804036483,4,12
32,2,0.4,0.0015,5.882011795160105,6,14
32,2,0.3,0.0001,5.882273975446657,4,12
128,8,0.5,0.001,5.88227606923223,5,13
32,24,0.3,0.0015,5.882310810391128,10,18
64,2,0.4,0.001,5.882464064459853,5,13
128,2,0.3,0.0001,5.883149601510032,3,11
64,12,0.5,0.0001,5.883700982371433,3,11
64,2,0.3,0.0015,5.883755013074422,3,11
64,2,0.3,0.0001,5.883830705891283,3,11
32,3,0.5,0.0015,5.884098686050991,10,18
64,2,0.3,0.001,5.884467288724688,3,11
64,12,0.3,0.0015,5.884676046987108,3,11
64,24,0.4,0.0001,5.884682435211107,7,15
64,12,0.3,0.001,5.88505353532668,6,14
64,12,0.3,0.0001,5.8853869351051324,6,14
32,8,0.4,0.0001,5.88689116641752,11,19
32,24,0.4,0.0001,5.887754730417435,5,13
128,24,0.5,0.0001,5.888207660087279,4,12
32,2,0.5,0.0015,5.888928176424535,8,16
32,3,0.4,0.0015,5.889105290355984,16,24
32,3,0.5,0.001,5.890897806611334,9,17
128,8,0.4,0.001,5.890967192516257,12,20
128,24,0.4,0.0001,5.890991476072899,4,12
64,2,0.4,0.0001,5.891336144251016,3,11
128,8,0.5,0.0001,5.892241612712009,9,17
32,2,0.4,0.001,5.892677587074717,6,14
32,2,0.4,0.0001,5.8933760849770325,4,12
32,3,0.4,0.001,5.893439744189654,9,17
128,24,0.3,0.001,5.894754625267001,4,12
128,24,0.3,0.0001,5.896333421481803,4,12
64,2,0.5,0.0001,5.897169291464913,5,13
128,8,0.3,0.0001,5.898322956280354,9,17
32,3,0.4,0.0001,5.898592204327415,3,11
32,2,0.5,0.001,5.899045104666836,8,16
128,8,0.3,0.0015,5.900591710888657,11,19
128,8,0.3,0.001,5.901528531538003,8,16
128,8,0.5,0.0015,5.903776253620106,5,13
128,8,0.4,0.0001,5.912492901340907,12,20
32,2,0.5,0.0001,5.917266621514156,4,12
32,3,0.5,0.0001,5.918690105884287,3,11
